country,continent,flag,map,alias/0,alias/1,alias/2
Chad,Africa,https://raw.githubusercontent.com/Naviamold1/common-country-list/main/flags/Chad.png,https://raw.githubusercontent.com/Naviamold1/common-country-list/main/maps/Chad.png,,,
Chile,Americas,https://raw.githubusercontent.com/Naviamold1/common-country-list/main/flags/Chile.png,https://raw.githubusercontent.com/Naviamold1/common-country-list/main/maps/Chile.png,,,
China,Asia,https://raw.githubusercontent.com/Naviamold1/common-country-list/main/flags/China.png,https://raw.githubusercontent.com/Naviamold1/common-country-list/main/maps/China.png,,,
Colombia,Americas,https://raw.githubusercontent.com/Naviamold1/common-country-list/main/flags/Colombia.png,https://raw.githubusercontent.com/Naviamold1/common-country-list/main/maps/Colombia.png,,,
Comoros,Africa,https://raw.githubusercontent.com/Naviamold1/common-country-list/main/flags/Comoros.png,https://raw.githubusercontent.com/Naviamold1/common-country-list/main/maps/Comoros.png,,,
Costa Rica,Americas,https://raw.githubusercontent.com/Naviamold1/common-country-list/main/flags/Costa%20Rica.png,https://raw.githubusercontent.com/Naviamold1/common-country-list/main/maps/Costa%20Rica.png,,,
Croatia,Europe,https://raw.githubusercontent.com/Naviamold1/common-country-list/main/flags/Croatia.png,https://raw.githubusercontent.com/Naviamold1/common-country-list/main/maps/Croatia.png,,,
Cuba,Americas,https://raw.githubusercontent.com/Naviamold1/common-country-list/main/flags/Cuba.png,https://raw.githubusercontent.com/Naviamold1/common-country-list/main/maps/Cuba.png,,,
Cyprus,Asia,https://raw.githubusercontent.com/Naviamold1/common-country-list/main/flags/Cyprus.png,https://raw.githubusercontent.com/Naviamold1/common-country-list/main/maps/Cyprus.png,,,
Czechia,Europe,https://raw.githubusercontent.com/Naviamold1/common-country-list/main/flags/Czechia.png,https://raw.githubusercontent.com/Naviamold1/common-country-list/main/maps/Czechia.png,Czech Republic,,
Democratic Republic of the Congo,Africa,https://raw.githubusercontent.com/Naviamold1/common-country-list/main/flags/Democratic%20Republic%20of%20the%20Congo.png,https://raw.githubusercontent.com/Naviamold1/common-country-list/main/maps/Democratic%20Republic%20of%20the%20Congo.png,DRC,,
Denmark,Europe,https://raw.githubusercontent.com/Naviamold1/common-country-list/main/flags/Denmark.png,https://raw.githubusercontent.com/Naviamold1/common-country-list/main/maps/Denmark.png,,,
Djibouti,Africa,https://raw.githubusercontent.com/Naviamold1/common-country-list/main/flags/Djibouti.png,https://raw.githubusercontent.com/Naviamold1/common-country-list/main/maps/Djibouti.png,,,
Dominica,Americas,https://raw.githubusercontent.com/Naviamold1/common-country-list/main/flags/Dominica.png,https://raw.githubusercontent.com/Naviamold1/common-country-list/main/maps/Dominica.png,,,
Dominican Republic,Americas,https://raw.githubusercontent.com/Naviamold1/common-country-list/main/flags/Dominican%20Republic.png,https://raw.githubusercontent.com/Naviamold1/common-country-list/main/maps/Dominican%20Republic.png,,,
Ecuador,Americas,https://raw.githubusercontent.com/Naviamold1/common-country-list/main/flags/Ecuador.png,https://raw.githubusercontent.com/Naviamold1/common-country-list/main/maps/Ecuador.png,,,
Egypt,Africa,https://raw.githubusercontent.com/Naviamold1/common-country-list/main/flags/Egypt.png,https://raw.githubusercontent.com/Naviamold1/common-country-list/main/maps/Egypt.png,,,
El Salvador,Americas,https://raw.githubusercontent.com/Naviamold1/common-country-list/main/flags/El%20Salvador.png,https://raw.githubusercontent.com/Naviamold1/common-country-list/main/maps/El%20Salvador.png,,,
Equatorial Guinea,Africa,https://raw.githubusercontent.com/Naviamold1/common-country-list/main/flags/Equatorial%20Guinea.png,https://raw.githubusercontent.com/Naviamold1/common-country-list/main/maps/Equatorial%20Guinea.png,,,
Eritrea,Africa,https://raw.githubusercontent.com/Naviamold1/common-country-list/main/flags/Eritrea.png,https://raw.githubusercontent.com/Naviamold1/common-country-list/main/maps/Eritrea.png,,,
Estonia,Europe,https://raw.githubusercontent.com/Naviamold1/common-country-list/main/flags/Estonia.png,https://raw.githubusercontent.com/Naviamold1/common-country-list/main/maps/Estonia.png,,,
Eswatini,Africa,https://raw.githubusercontent.com/Naviamold1/common-country-list/main/flags/Eswatini.png,https://raw.githubusercontent.com/Naviamold1/common-country-list/main/maps/Eswatini.png,Swaziland,,
Ethiopia,Africa,https://raw.githubusercontent.com/Naviamold1/common-country-list/main/flags/Ethiopia.png,https://raw.githubusercontent.com/Naviamold1/common-country-list/main/maps/Ethiopia.png,,,
Fiji,Oceania,https://raw.githubusercontent.com/Naviamold1/common-country-list/main/flags/Fiji.png,https://raw.githubusercontent.com/Naviamold1/common-country-list/main/maps/Fiji.png,,,
Finland,Europe,https://raw.githubusercontent.com/Naviamold1/common-country-list/main/flags/Finland.png,https://raw.githubusercontent.com/Naviamold1/common-country-list/main/maps/Finland.png,,,
France,Europe,https://raw.githubusercontent.com/Naviamold1/common-country-list/main/flags/France.png,https://raw.githubusercontent.com/Naviamold1/common-country-list/main/maps/France.png,,,
Gabon,Africa,https://raw.githubusercontent.com/Naviamold1/common-country-list/main/flags/Gabon.png,https://raw.githubusercontent.com/Naviamold1/common-country-list/main/maps/Gabon.png,,,
Gambia,Africa,https://raw.githubusercontent.com/Naviamold1/common-country-list/main/flags/Gambia.png,https://raw.githubusercontent.com/Naviamold1/common-country-list/main/maps/Gambia.png,,,
Georgia,Asia,https://raw.githubusercontent.com/Naviamold1/common-country-list/main/flags/Georgia.png,https://raw.githubusercontent.com/Naviamold1/common-country-list/main/maps/Georgia.png,,,
Germany,Europe,https://raw.githubusercontent.com/Naviamold1/common-country-list/main/flags/Germany.png,https://raw.githubusercontent.com/Naviamold1/common-country-list/main/maps/Germany.png,,,
Ghana,Africa,https://raw.githubusercontent.com/Naviamold1/common-country-list/main/flags/Ghana.png,https://raw.githubusercontent.com/Naviamold1/common-country-list/main/maps/Ghana.png,,,
Greece,Europe,https://raw.githubusercontent.com/Naviamold1/common-country-list/main/flags/Greece.png,https://raw.githubusercontent.com/Naviamold1/common-country-list/main/maps/Greece.png,,,
Grenada,Americas,https://raw.githubusercontent.com/Naviamold1/common-country-list/main/flags/Grenada.png,https://raw.githubusercontent.com/Naviamold1/common-country-list/main/maps/Grenada.png,,,
Guatemala,Americas,https://raw.githubusercontent.com/Naviamold1/common-country-list/main/flags/Guatemala.png,https://raw.githubusercontent.com/Naviamold1/common-country-list/main/maps/Guatemala.png,,,
Guinea-Bissau,Africa,https://raw.githubusercontent.com/Naviamold1/common-country-list/main/flags/Guinea-Bissau.png,https://raw.githubusercontent.com/Naviamold1/common-country-list/main/maps/Guinea-Bissau.png,Guinea Bissau,,
Guinea,Africa,https://raw.githubusercontent.com/Naviamold1/common-country-list/main/flags/Guinea.png,https://raw.githubusercontent.com/Naviamold1/common-country-list/main/maps/Guinea.png,,,
Guyana,Americas,https://raw.githubusercontent.com/Naviamold1/common-country-list/main/flags/Guyana.png,https://raw.githubusercontent.com/Naviamold1/common-country-list/main/maps/Guyana.png,,,
Haiti,Americas,https://raw.githubusercontent.com/Naviamold1/common-country-list/main/flags/Haiti.png,https://raw.githubusercontent.com/Naviamold1/common-country-list/main/maps/Haiti.png,,,
Honduras,Americas,https://raw.githubusercontent.com/Naviamold1/common-country-list/main/flags/Honduras.png,https://raw.githubusercontent.com/Naviamold1/common-country-list/main/maps/Honduras.png,,,
